Type,id,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--ethanol_production,transforms--bagasse_production,transforms--food_production,transforms--electricity_consumption,transforms--capture_rate,transforms--co2_content,transforms--emission_rate,edges--biomass_edge--commodity,edges--biomass_edge--unidirectional,edges--biomass_edge--has_capacity,edges--biomass_edge--can_expand,edges--biomass_edge--can_retire,edges--biomass_edge--lifetime,edges--biomass_edge--retirement_period,edges--biomass_edge--integer_decisions,edges--biomass_edge--constraints--CapacityConstraint,edges--biomass_edge--start_vertex,edges--biomass_edge--capacity_size,edges--biomass_edge--investment_cost,edges--biomass_edge--fixed_om_cost,edges--biomass_edge--variable_om_cost,edges--biomass_edge--existing_capacity,edges--biomass_edge--availability--timeseries--path,edges--biomass_edge--availability--timeseries--header,edges--ethanol_edge--commodity,edges--ethanol_edge--unidirectional,edges--ethanol_edge--has_capacity,edges--ethanol_edge--end_vertex,edges--bagasse_edge--commodity,edges--bagasse_edge--unidirectional,edges--bagasse_edge--has_capacity,edges--bagasse_edge--end_vertex,edges--food_edge--commodity,edges--food_edge--unidirectional,edges--food_edge--has_capacity,edges--food_edge--end_vertex,edges--elec_consumption_edge--commodity,edges--elec_consumption_edge--unidirectional,edges--elec_consumption_edge--has_capacity,edges--elec_consumption_edge--start_vertex,edges--co2_edge--commodity,edges--co2_edge--unidirectional,edges--co2_edge--has_capacity,edges--co2_edge--start_vertex,edges--co2_emission_edge--commodity,edges--co2_emission_edge--unidirectional,edges--co2_emission_edge--has_capacity,edges--co2_emission_edge--end_vertex,edges--co2_captured_edge--commodity,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--has_capacity,edges--co2_captured_edge--end_vertex
BECCSEthanol,BR_N_sugarcane_ethanol_large,Biomass,TRUE,0.634,0.36,0,0.15,0,1.558,0.8502,Sugarcane,TRUE,TRUE,TRUE,FALSE,50,50,FALSE,TRUE,sugarcane_harvested_BR_N,1625,5331108.049,338476.1779,6.312,316410,system/availability.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_N,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSEthanol,BR_NE_sugarcane_ethanol_large,Biomass,TRUE,0.634,0.36,0,0.15,0,1.558,0.8502,Sugarcane,TRUE,TRUE,TRUE,FALSE,50,50,FALSE,TRUE,sugarcane_harvested_BR_NE,1625,5331108.049,338476.1779,6.312,3196140,system/availability.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_NE,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSEthanol,BR_CW_sugarcane_ethanol_large,Biomass,TRUE,0.634,0.36,0,0.15,0,1.558,0.8502,Sugarcane,TRUE,TRUE,TRUE,FALSE,50,50,FALSE,TRUE,sugarcane_harvested_BR_CW,1625,5331108.049,338476.1779,6.312,9249750,system/availability.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_CW,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSEthanol,BR_SE_sugarcane_ethanol_large,Biomass,TRUE,0.634,0.36,0,0.15,0,1.558,0.8502,Sugarcane,TRUE,TRUE,TRUE,FALSE,50,50,FALSE,TRUE,sugarcane_harvested_BR_SE,1625,5331108.049,338476.1779,6.312,21756120,system/availability.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_SE,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSEthanol,BR_S_sugarcane_ethanol_large,Biomass,TRUE,0.634,0.36,0,0.15,0,1.558,0.8502,Sugarcane,TRUE,TRUE,TRUE,FALSE,50,50,FALSE,TRUE,sugarcane_harvested_BR_S,1625,5331108.049,338476.1779,6.312,2021940,system/availability.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_S,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSEthanol,BR_N_Lignocellulosic_Ethanol_large,Biomass,TRUE,2.02,0,0,0.1679,0,1.558,1.091,Residue,TRUE,TRUE,TRUE,FALSE,50,50,FALSE,TRUE,residue_BR_N,1625,13306350.94,532224.3985,346.66,0,system/availability.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_N,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSEthanol,BR_NE_Lignocellulosic_Ethanol_large,Biomass,TRUE,2.02,0,0,0.1679,0,1.558,1.091,Residue,TRUE,TRUE,TRUE,FALSE,50,50,FALSE,TRUE,residue_BR_NE,1625,13306350.94,532224.3985,346.66,0,system/availability.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_NE,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSEthanol,BR_CW_Lignocellulosic_Ethanol_large,Biomass,TRUE,2.02,0,0,0.1679,0,1.558,1.091,Residue,TRUE,TRUE,TRUE,FALSE,50,50,FALSE,TRUE,residue_BR_CW,1625,13306350.94,532224.3985,346.66,0,system/availability.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_CW,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSEthanol,BR_SE_Lignocellulosic_Ethanol_large,Biomass,TRUE,2.02,0,0,0.1679,0,1.558,1.091,Residue,TRUE,TRUE,TRUE,FALSE,50,50,FALSE,TRUE,residue_BR_SE,1625,13306350.94,532224.3985,346.66,0,system/availability.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_SE,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSEthanol,BR_S_Lignocellulosic_Ethanol_large,Biomass,TRUE,2.02,0,0,0.1679,0,1.558,1.091,Residue,TRUE,TRUE,TRUE,FALSE,50,50,FALSE,TRUE,residue_BR_S,1625,13306350.94,532224.3985,346.66,0,system/availability.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_S,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
